"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","A Little Chat","snc","Near Mint","English","","","2025-08-06 14:22:43.397000","47","False","False","0.35"
"1","1","Abandon Reason","emn","Near Mint","English","","","2025-08-06 14:22:43.397000","115","False","False","0.35"
"1","1","Abandon the Post","mid","Near Mint","English","","","2025-08-06 14:22:43.397000","127","False","False","0.35"
"1","1","Abandoned Sarcophagus","c20","Near Mint","English","","","2025-08-06 14:22:43.397000","236","False","False","0.49"
"1","1","Aberrant Researcher // Perfected Form","soi","Near Mint","English","","","2025-08-06 14:22:43.397000","49","False","False","0.35"
"1","1","Abhorrent Overlord","ths","Near Mint","English","","","2025-08-06 14:22:43.397000","75","False","False","0.79"
"2","2","Abnormal Endurance","m19","Near Mint","English","","","2025-08-06 14:22:43.397000","85","False","False","0.35"
"2","2","Abomination of Gudul","ktk","Near Mint","English","","","2025-08-06 14:22:43.397000","159","False","False","0.35"
"1","1","Abrade","fdn","Near Mint","English","","","2025-08-06 14:22:43.397000","188","False","False","0.35"
"2","2","Abrade","vow","Near Mint","English","","","2025-08-06 14:22:43.397000","139","False","False","0.35"
"1","1","Abrupt Decay","gk1","Near Mint","English","","","2025-08-06 14:22:43.397000","57","False","False","1.99"
"1","1","Absorb Vis","cn2","Near Mint","English","","","2025-08-06 14:22:43.397000","126","False","False","0.35"
"2","2","Abstruse Interference","ogw","Near Mint","English","","","2025-08-06 14:22:43.397000","40","False","False","0.35"
"1","1","Abundant Growth","dmc","Near Mint","English","","","2025-08-06 14:22:43.397000","128","False","False","0.49"
"1","1","Abzan Advantage","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"1","1","Abzan Ascendancy","2x2","Near Mint","English","","","2025-08-06 14:22:43.397000","165","False","False","0.49"
"1","1","Abzan Banner","ktk","Near Mint","English","","","2025-08-06 14:22:43.397000","215","False","False","0.35"
"2","2","Abzan Battle Priest","moc","Near Mint","English","","","2025-11-02 16:31:31.997000","164","False","False","0.35"
"1","1","Abzan Beastmaster","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","119","False","False","0.35"
"1","1","Abzan Charm","dmc","Near Mint","English","","","2025-08-06 14:22:43.397000","138","False","False","0.35"
"1","1","Abzan Devotee","tdm","Near Mint","English","","","2025-08-25 14:25:56.900000","68","False","False","0.35"
"5","5","Abzan Falconer","moc","Near Mint","English","","","2025-11-02 18:21:23.640000","165","False","False","0.35"
"2","2","Abzan Guide","ktk","Near Mint","English","","","2025-08-06 14:22:43.397000","162","False","False","0.35"
"3","3","Abzan Kin-Guard","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","120","False","False","0.35"
"1","1","Abzan Runemark","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","3","False","False","0.35"
"1","1","Abzan Skycaptain","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","4","False","False","0.35"
"1","1","Academic Dispute","stx","Near Mint","English","","","2025-08-06 14:22:43.397000","91","False","False","0.35"
"1","1","Academic Probation","stx","Near Mint","English","","","2025-08-06 14:22:43.397000","7","False","False","0.49"
"1","1","Academy Drake","dom","Near Mint","English","","","2025-08-06 14:22:43.397000","40","False","False","0.35"
